table_name	column_name	data_type
mma_users	id	UUID
mma_users	email	VARCHAR(255)
mma_users	name	VARCHAR(200)
mma_users	avatar_url	TEXT
mma_users	user_type	VARCHAR(20)
mma_users	is_active	BOOLEAN
mma_users	expires_at	TIMESTAMPTZ
mma_users	last_login_at	TIMESTAMPTZ
mma_users	created_at	TIMESTAMPTZ
mma_users	updated_at	TIMESTAMPTZ
mma_users	created_by	UUID
mma_user_invites	id	UUID
mma_user_invites	email	VARCHAR(255)
mma_user_invites	token	VARCHAR(100)
mma_user_invites	user_type	VARCHAR(20)
mma_user_invites	expires_at	TIMESTAMPTZ
mma_user_invites	accepted_at	TIMESTAMPTZ
mma_user_invites	accepted_by	UUID
mma_user_invites	created_at	TIMESTAMPTZ
mma_user_invites	created_by	UUID
mma_permission_areas	id	UUID
mma_permission_areas	code	VARCHAR(30)
mma_permission_areas	name	VARCHAR(100)
mma_permission_areas	display_order	INTEGER
mma_user_permissions	id	UUID
mma_user_permissions	user_id	UUID
mma_user_permissions	area_id	UUID
mma_user_permissions	permission	VARCHAR(20)
mma_user_permissions	created_at	TIMESTAMPTZ
mma_user_permissions	created_by	UUID
mma_user_permissions	UNIQUE(user_id,	area_id)
mma_roles	id	UUID
mma_roles	name	VARCHAR(50)
mma_roles	code	VARCHAR(5)
mma_roles	parent_id	UUID
mma_roles	is_base	BOOLEAN
mma_roles	is_active	BOOLEAN
mma_roles	created_at	TIMESTAMPTZ
mma_people	id	UUID
mma_people	name	VARCHAR(100)
mma_people	surname	VARCHAR(100)
mma_people	compiled_name	VARCHAR(200)
mma_people	INITCAP(TRIM(name))	||
mma_people	)	STORED
mma_people	event_name	VARCHAR(200)
mma_people	fighter_id	INTEGER
mma_people	gender	VARCHAR(20)
mma_people	phone	VARCHAR(30)
mma_people	dob	DATE
mma_people	nationality	VARCHAR(100)
mma_people	passport_number	VARCHAR(50)
mma_people	passport_expiry	DATE
mma_people	passport_photo	TEXT
mma_people	document_folder	TEXT
mma_people	height	DECIMAL(5,2)
mma_people	reach	DECIMAL(5,2)
mma_people	created_at	TIMESTAMPTZ
mma_people	updated_at	TIMESTAMPTZ
mma_people	created_by	UUID
mma_people_documents	id	UUID
mma_people_documents	person_id	UUID
mma_people_documents	document_type	VARCHAR(50)
mma_people_documents	document_name	VARCHAR(200)
mma_people_documents	document_link	TEXT
mma_people_documents	expiry_date	DATE
mma_people_documents	notes	TEXT
mma_people_documents	created_at	TIMESTAMPTZ
mma_people_documents	created_by	UUID
mma_events	id	UUID
mma_events	name	VARCHAR(200)
mma_events	code	VARCHAR(20)
mma_events	event_date	DATE
mma_events	event_end_date	DATE
mma_events	city	VARCHAR(100)
mma_events	country	VARCHAR(100)
mma_events	venue	VARCHAR(200)
mma_events	main_airport	VARCHAR(10)
mma_events	checkin_margin_hours	INTEGER
mma_events	checkout_margin_hours	INTEGER
mma_events	status	VARCHAR(20)
mma_events	fight_card_csv_url	TEXT
mma_events	notes	TEXT
mma_events	created_at	TIMESTAMPTZ
mma_events	updated_at	TIMESTAMPTZ
mma_events	created_by	UUID
mma_event_checklist_items	id	UUID
mma_event_checklist_items	event_id	UUID
mma_event_checklist_items	item_name	VARCHAR(100)
mma_event_checklist_items	item_type	VARCHAR(20)
mma_event_checklist_items	display_order	INTEGER
mma_event_checklist_items	is_active	BOOLEAN
mma_event_checklist_items	created_at	TIMESTAMPTZ
mma_enrollments	id	UUID
mma_enrollments	event_id	UUID
mma_enrollments	person_id	UUID
mma_enrollments	role_id	UUID
mma_enrollments	event_code	VARCHAR(10)
mma_enrollments	event_code_seq	INTEGER
mma_enrollments	needs_flight	VARCHAR(20)
mma_enrollments	needs_visa	BOOLEAN
mma_enrollments	needs_hotel	BOOLEAN
mma_enrollments	needs_transport	VARCHAR(20)
mma_enrollments	status	VARCHAR(20)
mma_enrollments	cancelled_at	TIMESTAMPTZ
mma_enrollments	cancelled_by	UUID
mma_enrollments	cancellation_reason	TEXT
mma_enrollments	created_at	TIMESTAMPTZ
mma_enrollments	updated_at	TIMESTAMPTZ
mma_enrollments	created_by	UUID
mma_enrollments	UNIQUE(event_id,	person_id)
mma_enrollment_corners	id	UUID
mma_enrollment_corners	fighter_enrollment_id	UUID
mma_enrollment_corners	corner_enrollment_id	UUID
mma_enrollment_corners	created_at	TIMESTAMPTZ
mma_enrollment_corners	created_by	UUID
mma_enrollment_corners	UNIQUE(fighter_enrollment_id,	corner_enrollment_id)
mma_flights	id	UUID
mma_flights	enrollment_id	UUID
mma_flights	type	VARCHAR(20)
mma_flights	arrival_reservation	VARCHAR(50)
mma_flights	arrival_flight_number	VARCHAR(20)
mma_flights	arrival_date	DATE
mma_flights	arrival_time	TIME
mma_flights	arrival_airport	VARCHAR(10)
mma_flights	arrival_ticket_link	TEXT
mma_flights	departure_reservation	VARCHAR(50)
mma_flights	departure_flight_number	VARCHAR(20)
mma_flights	departure_date	DATE
mma_flights	departure_time	TIME
mma_flights	departure_airport	VARCHAR(10)
mma_flights	departure_ticket_link	TEXT
mma_flights	status	VARCHAR(20)
mma_flights	notes	TEXT
mma_flights	created_at	TIMESTAMPTZ
mma_flights	updated_at	TIMESTAMPTZ
mma_flights	created_by	UUID
mma_flights	updated_by	UUID
mma_visas	id	UUID
mma_visas	enrollment_id	UUID
mma_visas	passport_name	VARCHAR(200)
mma_visas	nationality	VARCHAR(100)
mma_visas	departure_airport	VARCHAR(10)
mma_visas	document_link	TEXT
mma_visas	status	INTEGER
mma_visas	is_done	BOOLEAN
mma_visas	notes	TEXT
mma_visas	created_at	TIMESTAMPTZ
mma_visas	updated_at	TIMESTAMPTZ
mma_visas	created_by	UUID
mma_visas	updated_by	UUID
mma_hotels	id	UUID
mma_hotels	enrollment_id	UUID
mma_hotels	suggested_checkin_date	DATE
mma_hotels	suggested_checkin_time	TIME
mma_hotels	suggested_checkout_date	DATE
mma_hotels	suggested_checkout_time	TIME
mma_hotels	reservation_number	VARCHAR(50)
mma_hotels	checkin_date	DATE
mma_hotels	checkin_time	TIME
mma_hotels	checkout_date	DATE
mma_hotels	checkout_time	TIME
mma_hotels	has_divergence	BOOLEAN
mma_hotels	divergence_type	TEXT[]
mma_hotels	divergence_approved	BOOLEAN
mma_hotels	divergence_approved_by	UUID
mma_hotels	divergence_approved_at	TIMESTAMPTZ
mma_hotels	status	VARCHAR(20)
mma_hotels	notes	TEXT
mma_hotels	created_at	TIMESTAMPTZ
mma_hotels	updated_at	TIMESTAMPTZ
mma_hotels	created_by	UUID
mma_hotels	updated_by	UUID
mma_transport_drivers	id	UUID
mma_transport_drivers	name	VARCHAR(100)
mma_transport_drivers	phone	VARCHAR(30)
mma_transport_drivers	notes	TEXT
mma_transport_drivers	is_active	BOOLEAN
mma_transport_drivers	created_at	TIMESTAMPTZ
mma_transport_drivers	updated_at	TIMESTAMPTZ
mma_transport_cars	id	UUID
mma_transport_cars	event_id	UUID
mma_transport_cars	car_number	INTEGER
mma_transport_cars	type	VARCHAR(20)
mma_transport_cars	vehicle_type	VARCHAR(30)
mma_transport_cars	driver_id	UUID
mma_transport_cars	flight_number	VARCHAR(20)
mma_transport_cars	flight_date	DATE
mma_transport_cars	flight_time	TIME
mma_transport_cars	airport	VARCHAR(10)
mma_transport_cars	route_from	VARCHAR(200)
mma_transport_cars	route_to	VARCHAR(200)
mma_transport_cars	scheduled_date	DATE
mma_transport_cars	scheduled_time	TIME
mma_transport_cars	status	VARCHAR(20)
mma_transport_cars	notes	TEXT
mma_transport_cars	created_at	TIMESTAMPTZ
mma_transport_cars	updated_at	TIMESTAMPTZ
mma_transport_cars	UNIQUE(event_id,	car_number)
mma_transport_passengers	id	UUID
mma_transport_passengers	car_id	UUID
mma_transport_passengers	enrollment_id	UUID
mma_transport_passengers	created_at	TIMESTAMPTZ
mma_transport_passengers	UNIQUE(car_id,	enrollment_id)
mma_athlete_stats	id	UUID
mma_athlete_stats	enrollment_id	UUID
mma_athlete_stats	city	VARCHAR(100)
mma_athlete_stats	weight	DECIMAL(5,2)
mma_athlete_stats	gym	VARCHAR(200)
mma_athlete_stats	fightstyle	VARCHAR(100)
mma_athlete_stats	tshirt_size	VARCHAR(10)
mma_athlete_stats	corner1_tshirt	VARCHAR(10)
mma_athlete_stats	corner2_tshirt	VARCHAR(10)
mma_athlete_stats	corner3_tshirt	VARCHAR(10)
mma_athlete_stats	notes	TEXT
mma_athlete_stats	created_at	TIMESTAMPTZ
mma_athlete_stats	updated_at	TIMESTAMPTZ
mma_athlete_stats	updated_by	UUID
mma_athlete_music	id	UUID
mma_athlete_music	enrollment_id	UUID
mma_athlete_music	music_link_1	TEXT
mma_athlete_music	music_link_2	TEXT
mma_athlete_music	music_link_3	TEXT
mma_athlete_music	notes	TEXT
mma_athlete_music	created_at	TIMESTAMPTZ
mma_athlete_music	updated_at	TIMESTAMPTZ
mma_athlete_music	updated_by	UUID
mma_athlete_tasks	id	UUID
mma_athlete_tasks	enrollment_id	UUID
mma_athlete_tasks	task_type	VARCHAR(30)
mma_athlete_tasks	status	VARCHAR(20)
mma_athlete_tasks	scheduled_date	DATE
mma_athlete_tasks	scheduled_time	TIME
mma_athlete_tasks	location	VARCHAR(200)
mma_athlete_tasks	notes	TEXT
mma_athlete_tasks	created_at	TIMESTAMPTZ
mma_athlete_tasks	updated_at	TIMESTAMPTZ
mma_athlete_tasks	updated_by	UUID
mma_athlete_tasks	UNIQUE(enrollment_id,	task_type)
mma_pre_event_checks	id	UUID
mma_pre_event_checks	enrollment_id	UUID
mma_pre_event_checks	checklist_item_id	UUID
mma_pre_event_checks	is_checked	BOOLEAN
mma_pre_event_checks	value	VARCHAR(50)
mma_pre_event_checks	notes	TEXT
mma_pre_event_checks	checked_at	TIMESTAMPTZ
mma_pre_event_checks	checked_by	UUID
mma_pre_event_checks	created_at	TIMESTAMPTZ
mma_pre_event_checks	updated_at	TIMESTAMPTZ
mma_pre_event_checks	UNIQUE(enrollment_id,	checklist_item_id)
mma_batches	id	UUID
mma_batches	event_id	UUID
mma_batches	batch_number	INTEGER
mma_batches	name	VARCHAR(100)
mma_batches	scheduled_date	DATE
mma_batches	scheduled_time	TIME
mma_batches	route_from	VARCHAR(200)
mma_batches	route_to	VARCHAR(200)
mma_batches	status	VARCHAR(20)
mma_batches	notes	TEXT
mma_batches	created_at	TIMESTAMPTZ
mma_batches	updated_at	TIMESTAMPTZ
mma_batches	created_by	UUID
mma_batches	UNIQUE(event_id,	batch_number)
mma_batch_passengers	id	UUID
mma_batch_passengers	batch_id	UUID
mma_batch_passengers	enrollment_id	UUID
mma_batch_passengers	checklist_done	BOOLEAN
mma_batch_passengers	is_boarded	BOOLEAN
mma_batch_passengers	boarded_at	TIMESTAMPTZ
mma_batch_passengers	notes	TEXT
mma_batch_passengers	created_at	TIMESTAMPTZ
mma_batch_passengers	updated_at	TIMESTAMPTZ
mma_batch_passengers	UNIQUE(batch_id,	enrollment_id)
mma_messages	id	UUID
mma_messages	event_id	UUID
mma_messages	target_type	VARCHAR(20)
mma_messages	target_role_id	UUID
mma_messages	target_batch_id	UUID
mma_messages	target_enrollment_id	UUID
mma_messages	title	VARCHAR(200)
mma_messages	body	TEXT
mma_messages	sent_at	TIMESTAMPTZ
mma_messages	created_by	UUID
mma_message_attachments	id	UUID
mma_message_attachments	message_id	UUID
mma_message_attachments	file_name	VARCHAR(200)
mma_message_attachments	file_type	VARCHAR(20)
mma_message_attachments	file_link	TEXT
mma_message_attachments	created_at	TIMESTAMPTZ
mma_message_reads	id	UUID
mma_message_reads	message_id	UUID
mma_message_reads	enrollment_id	UUID
mma_message_reads	read_at	TIMESTAMPTZ
mma_message_reads	UNIQUE(message_id,	enrollment_id)
